target_cwe,ratio,seed,split,positive_rows,benign_rows,total_rows,actual_vulnerable_pct,actual_benign_pct,requested_vulnerable_pct,requested_benign_pct,source_file,benign_pool_rows,excluded_other_vulnerable_rows,ratio_scope
CWE-119,60/40,1,train,679,1019,1698,39.9882,60.0118,40,60,primevul_train.jsonl,170935,4183,train_valid_test
CWE-119,60/40,1,valid,19,29,48,39.5833,60.4167,40,60,primevul_valid.jsonl,23355,574,train_valid_test
CWE-119,60/40,1,test,21,32,53,39.6226,60.3774,40,60,primevul_test.jsonl,24239,528,train_valid_test
CWE-119,60/40,2,train,679,1019,1698,39.9882,60.0118,40,60,primevul_train.jsonl,170935,4183,train_valid_test
CWE-119,60/40,2,valid,19,29,48,39.5833,60.4167,40,60,primevul_valid.jsonl,23355,574,train_valid_test
CWE-119,60/40,2,test,21,32,53,39.6226,60.3774,40,60,primevul_test.jsonl,24239,528,train_valid_test
CWE-119,60/40,3,train,679,1019,1698,39.9882,60.0118,40,60,primevul_train.jsonl,170935,4183,train_valid_test
CWE-119,60/40,3,valid,19,29,48,39.5833,60.4167,40,60,primevul_valid.jsonl,23355,574,train_valid_test
CWE-119,60/40,3,test,21,32,53,39.6226,60.3774,40,60,primevul_test.jsonl,24239,528,train_valid_test
CWE-119,60/40,4,train,679,1019,1698,39.9882,60.0118,40,60,primevul_train.jsonl,170935,4183,train_valid_test
CWE-119,60/40,4,valid,19,29,48,39.5833,60.4167,40,60,primevul_valid.jsonl,23355,574,train_valid_test
CWE-119,60/40,4,test,21,32,53,39.6226,60.3774,40,60,primevul_test.jsonl,24239,528,train_valid_test
CWE-119,60/40,5,train,679,1019,1698,39.9882,60.0118,40,60,primevul_train.jsonl,170935,4183,train_valid_test
CWE-119,60/40,5,valid,19,29,48,39.5833,60.4167,40,60,primevul_valid.jsonl,23355,574,train_valid_test
CWE-119,60/40,5,test,21,32,53,39.6226,60.3774,40,60,primevul_test.jsonl,24239,528,train_valid_test
CWE-119,70/30,1,train,679,1585,2264,29.9912,70.0088,30,70,primevul_train.jsonl,170935,4183,train_valid_test
CWE-119,70/30,1,valid,19,45,64,29.6875,70.3125,30,70,primevul_valid.jsonl,23355,574,train_valid_test
CWE-119,70/30,1,test,21,49,70,30.0000,70.0000,30,70,primevul_test.jsonl,24239,528,train_valid_test
CWE-119,70/30,2,train,679,1585,2264,29.9912,70.0088,30,70,primevul_train.jsonl,170935,4183,train_valid_test
CWE-119,70/30,2,valid,19,45,64,29.6875,70.3125,30,70,primevul_valid.jsonl,23355,574,train_valid_test
CWE-119,70/30,2,test,21,49,70,30.0000,70.0000,30,70,primevul_test.jsonl,24239,528,train_valid_test
CWE-119,70/30,3,train,679,1585,2264,29.9912,70.0088,30,70,primevul_train.jsonl,170935,4183,train_valid_test
CWE-119,70/30,3,valid,19,45,64,29.6875,70.3125,30,70,primevul_valid.jsonl,23355,574,train_valid_test
CWE-119,70/30,3,test,21,49,70,30.0000,70.0000,30,70,primevul_test.jsonl,24239,528,train_valid_test
CWE-119,70/30,4,train,679,1585,2264,29.9912,70.0088,30,70,primevul_train.jsonl,170935,4183,train_valid_test
CWE-119,70/30,4,valid,19,45,64,29.6875,70.3125,30,70,primevul_valid.jsonl,23355,574,train_valid_test
CWE-119,70/30,4,test,21,49,70,30.0000,70.0000,30,70,primevul_test.jsonl,24239,528,train_valid_test
CWE-119,70/30,5,train,679,1585,2264,29.9912,70.0088,30,70,primevul_train.jsonl,170935,4183,train_valid_test
CWE-119,70/30,5,valid,19,45,64,29.6875,70.3125,30,70,primevul_valid.jsonl,23355,574,train_valid_test
CWE-119,70/30,5,test,21,49,70,30.0000,70.0000,30,70,primevul_test.jsonl,24239,528,train_valid_test
CWE-119,75/25,1,train,679,2037,2716,25.0000,75.0000,25,75,primevul_train.jsonl,170935,4183,train_valid_test
CWE-119,75/25,1,valid,19,57,76,25.0000,75.0000,25,75,primevul_valid.jsonl,23355,574,train_valid_test
CWE-119,75/25,1,test,21,63,84,25.0000,75.0000,25,75,primevul_test.jsonl,24239,528,train_valid_test
CWE-119,75/25,2,train,679,2037,2716,25.0000,75.0000,25,75,primevul_train.jsonl,170935,4183,train_valid_test
CWE-119,75/25,2,valid,19,57,76,25.0000,75.0000,25,75,primevul_valid.jsonl,23355,574,train_valid_test
CWE-119,75/25,2,test,21,63,84,25.0000,75.0000,25,75,primevul_test.jsonl,24239,528,train_valid_test
CWE-119,75/25,3,train,679,2037,2716,25.0000,75.0000,25,75,primevul_train.jsonl,170935,4183,train_valid_test
CWE-119,75/25,3,valid,19,57,76,25.0000,75.0000,25,75,primevul_valid.jsonl,23355,574,train_valid_test
CWE-119,75/25,3,test,21,63,84,25.0000,75.0000,25,75,primevul_test.jsonl,24239,528,train_valid_test
CWE-119,75/25,4,train,679,2037,2716,25.0000,75.0000,25,75,primevul_train.jsonl,170935,4183,train_valid_test
CWE-119,75/25,4,valid,19,57,76,25.0000,75.0000,25,75,primevul_valid.jsonl,23355,574,train_valid_test
CWE-119,75/25,4,test,21,63,84,25.0000,75.0000,25,75,primevul_test.jsonl,24239,528,train_valid_test
CWE-119,75/25,5,train,679,2037,2716,25.0000,75.0000,25,75,primevul_train.jsonl,170935,4183,train_valid_test
CWE-119,75/25,5,valid,19,57,76,25.0000,75.0000,25,75,primevul_valid.jsonl,23355,574,train_valid_test
CWE-119,75/25,5,test,21,63,84,25.0000,75.0000,25,75,primevul_test.jsonl,24239,528,train_valid_test
CWE-119,80/20,1,train,679,2716,3395,20.0000,80.0000,20,80,primevul_train.jsonl,170935,4183,train_valid_test
CWE-119,80/20,1,valid,19,76,95,20.0000,80.0000,20,80,primevul_valid.jsonl,23355,574,train_valid_test
CWE-119,80/20,1,test,21,84,105,20.0000,80.0000,20,80,primevul_test.jsonl,24239,528,train_valid_test
CWE-119,80/20,2,train,679,2716,3395,20.0000,80.0000,20,80,primevul_train.jsonl,170935,4183,train_valid_test
CWE-119,80/20,2,valid,19,76,95,20.0000,80.0000,20,80,primevul_valid.jsonl,23355,574,train_valid_test
CWE-119,80/20,2,test,21,84,105,20.0000,80.0000,20,80,primevul_test.jsonl,24239,528,train_valid_test
CWE-119,80/20,3,train,679,2716,3395,20.0000,80.0000,20,80,primevul_train.jsonl,170935,4183,train_valid_test
CWE-119,80/20,3,valid,19,76,95,20.0000,80.0000,20,80,primevul_valid.jsonl,23355,574,train_valid_test
CWE-119,80/20,3,test,21,84,105,20.0000,80.0000,20,80,primevul_test.jsonl,24239,528,train_valid_test
CWE-119,80/20,4,train,679,2716,3395,20.0000,80.0000,20,80,primevul_train.jsonl,170935,4183,train_valid_test
CWE-119,80/20,4,valid,19,76,95,20.0000,80.0000,20,80,primevul_valid.jsonl,23355,574,train_valid_test
CWE-119,80/20,4,test,21,84,105,20.0000,80.0000,20,80,primevul_test.jsonl,24239,528,train_valid_test
CWE-119,80/20,5,train,679,2716,3395,20.0000,80.0000,20,80,primevul_train.jsonl,170935,4183,train_valid_test
CWE-119,80/20,5,valid,19,76,95,20.0000,80.0000,20,80,primevul_valid.jsonl,23355,574,train_valid_test
CWE-119,80/20,5,test,21,84,105,20.0000,80.0000,20,80,primevul_test.jsonl,24239,528,train_valid_test
CWE-119,90/10,1,train,679,6111,6790,10.0000,90.0000,10,90,primevul_train.jsonl,170935,4183,train_valid_test
CWE-119,90/10,1,valid,19,171,190,10.0000,90.0000,10,90,primevul_valid.jsonl,23355,574,train_valid_test
CWE-119,90/10,1,test,21,189,210,10.0000,90.0000,10,90,primevul_test.jsonl,24239,528,train_valid_test
CWE-119,90/10,2,train,679,6111,6790,10.0000,90.0000,10,90,primevul_train.jsonl,170935,4183,train_valid_test
CWE-119,90/10,2,valid,19,171,190,10.0000,90.0000,10,90,primevul_valid.jsonl,23355,574,train_valid_test
CWE-119,90/10,2,test,21,189,210,10.0000,90.0000,10,90,primevul_test.jsonl,24239,528,train_valid_test
CWE-119,90/10,3,train,679,6111,6790,10.0000,90.0000,10,90,primevul_train.jsonl,170935,4183,train_valid_test
CWE-119,90/10,3,valid,19,171,190,10.0000,90.0000,10,90,primevul_valid.jsonl,23355,574,train_valid_test
CWE-119,90/10,3,test,21,189,210,10.0000,90.0000,10,90,primevul_test.jsonl,24239,528,train_valid_test
CWE-119,90/10,4,train,679,6111,6790,10.0000,90.0000,10,90,primevul_train.jsonl,170935,4183,train_valid_test
CWE-119,90/10,4,valid,19,171,190,10.0000,90.0000,10,90,primevul_valid.jsonl,23355,574,train_valid_test
CWE-119,90/10,4,test,21,189,210,10.0000,90.0000,10,90,primevul_test.jsonl,24239,528,train_valid_test
CWE-119,90/10,5,train,679,6111,6790,10.0000,90.0000,10,90,primevul_train.jsonl,170935,4183,train_valid_test
CWE-119,90/10,5,valid,19,171,190,10.0000,90.0000,10,90,primevul_valid.jsonl,23355,574,train_valid_test
CWE-119,90/10,5,test,21,189,210,10.0000,90.0000,10,90,primevul_test.jsonl,24239,528,train_valid_test
CWE-119,50/50,1,test,21,21,42,50.0000,50.0000,50,50,primevul_test.jsonl,24239,528,test_only
CWE-119,50/50,2,test,21,21,42,50.0000,50.0000,50,50,primevul_test.jsonl,24239,528,test_only
CWE-119,50/50,3,test,21,21,42,50.0000,50.0000,50,50,primevul_test.jsonl,24239,528,test_only
CWE-119,50/50,4,test,21,21,42,50.0000,50.0000,50,50,primevul_test.jsonl,24239,528,test_only
CWE-119,50/50,5,test,21,21,42,50.0000,50.0000,50,50,primevul_test.jsonl,24239,528,test_only
