cwe,train_positive_rows,valid_positive_rows,test_positive_rows,total_positive_rows,present_in_all_splits
CWE-119,679,19,21,719,1
CWE-125,538,80,59,677,1
CWE-787,318,96,90,504,1
CWE-20,442,11,18,471,1
CWE-476,272,54,47,373,1
CWE-200,285,20,16,321,1
CWE-416,228,28,39,295,1
CWE-703,155,47,55,257,1
CWE-190,184,27,17,228,1
CWE-399,189,4,3,196,1
CWE-189,166,7,6,179,1
CWE-264,171,2,2,175,1
CWE-369,79,38,21,138,1
CWE-401,94,14,9,117,1
CWE-362,83,7,10,100,1
CWE-415,75,8,12,95,1
CWE-772,82,3,4,89,1
CWE-310,63,5,2,70,1
CWE-284,58,5,5,68,1
CWE-835,50,7,5,62,1
CWE-617,37,9,14,60,1
CWE-120,40,12,7,59,1
CWE-22,36,4,6,46,1
CWE-400,31,4,4,39,1
CWE-79,22,6,2,30,1
CWE-78,24,2,1,27,1
CWE-269,19,3,5,27,1
CWE-59,22,1,2,25,1
CWE-770,17,3,3,23,1
CWE-665,14,6,1,21,1
CWE-94,15,2,2,19,1
CWE-287,15,1,1,17,1
CWE-754,12,1,3,16,1
CWE-704,10,1,2,13,1
CWE-295,8,4,1,13,1
CWE-122,3,3,7,13,1
CWE-824,8,1,2,11,1
CWE-74,7,2,2,11,1
CWE-191,7,1,3,11,1
CWE-252,7,1,2,10,1
CWE-862,6,2,1,9,1
CWE-327,5,2,2,9,1
CWE-763,6,1,1,8,1
CWE-276,5,1,2,8,1
CWE-354,4,2,2,8,1
CWE-134,5,1,1,7,1
CWE-909,5,1,1,7,1
CWE-203,4,2,1,7,1
CWE-193,4,1,2,7,1
CWE-908,4,1,2,7,1
CWE-522,3,1,1,5,1
CWE-668,2,2,1,5,1
CWE-444,1,1,1,3,1
CWE-254,19,1,0,20,0
CWE-17,14,0,1,15,0
CWE-834,14,0,1,15,0
CWE-19,13,1,0,14,0
CWE-674,11,2,0,13,0
CWE-755,8,5,0,13,0
CWE-345,7,0,2,9,0
CWE-77,6,3,0,9,0
CWE-843,6,0,3,9,0
CWE-320,8,0,0,8,0
CWE-61,8,0,0,8,0
CWE-388,7,0,0,7,0
CWE-129,6,0,0,6,0
CWE-347,6,0,0,6,0
CWE-681,5,1,0,6,0
CWE-89,5,0,1,6,0
CWE-532,5,0,0,5,0
CWE-294,4,1,0,5,0
CWE-326,4,1,0,5,0
CWE-601,4,1,0,5,0
CWE-732,4,0,1,5,0
CWE-863,4,0,1,5,0
CWE-241,4,0,0,4,0
CWE-285,4,0,0,4,0
CWE-404,4,0,0,4,0
CWE-88,4,0,0,4,0
CWE-331,3,0,0,3,0
CWE-502,3,0,0,3,0
CWE-682,3,0,0,3,0
CWE-697,3,0,0,3,0
CWE-611,2,1,0,3,0
CWE-667,2,1,0,3,0
CWE-672,2,0,1,3,0
CWE-434,0,2,1,3,0
CWE-131,2,0,0,2,0
CWE-172,2,0,0,2,0
CWE-255,2,0,0,2,0
CWE-307,2,0,0,2,0
CWE-352,2,0,0,2,0
CWE-693,2,0,0,2,0
CWE-918,2,0,0,2,0
CWE-93,2,0,0,2,0
CWE-121,1,0,1,2,0
CWE-212,1,0,1,2,0
CWE-552,1,0,1,2,0
CWE-823,1,0,1,2,0
CWE-91,0,2,0,2,0
CWE-924,0,0,2,2,0
CWE-1021,1,0,0,1,0
CWE-113,1,0,0,1,0
CWE-116,1,0,0,1,0
CWE-16,1,0,0,1,0
CWE-209,1,0,0,1,0
CWE-273,1,0,0,1,0
CWE-281,1,0,0,1,0
CWE-290,1,0,0,1,0
CWE-311,1,0,0,1,0
CWE-346,1,0,0,1,0
CWE-349,1,0,0,1,0
CWE-361,1,0,0,1,0
CWE-417,1,0,0,1,0
CWE-426,1,0,0,1,0
CWE-457,1,0,0,1,0
CWE-613,1,0,0,1,0
CWE-639,1,0,0,1,0
CWE-664,1,0,0,1,0
CWE-670,1,0,0,1,0
CWE-707,1,0,0,1,0
CWE-798,1,0,0,1,0
CWE-459,0,1,0,1,0
CWE-565,0,1,0,1,0
CWE-662,0,1,0,1,0
CWE-706,0,1,0,1,0
CWE-275,0,0,1,1,0
CWE-288,0,0,1,1,0
