target_cwe,ratio,seed,condition,noise_type,noise_level,base_train_rows,final_train_rows,valid_rows,requested_noise_rows,rows_selected_for_noise,pair_count,flips_0_to_1,flips_1_to_0,compensation_benign_rows,clean_train_positive_rows,clean_train_benign_rows,noisy_train_positive_rows,noisy_train_benign_rows,final_vulnerable_pct,final_benign_pct,heuristic_candidate_rows,validation_clean,ratio_preserved,tests_copied
CWE-119,60/40,1,clean,clean,0.0,1698,1698,48,0,0,0,0,0,0,679,1019,679,1019,39.9882,60.0118,0,True,True,False
CWE-119,60/40,1,random_flip_10,random_flip,0.1,1698,1698,48,170,170,85,85,85,0,679,1019,679,1019,39.9882,60.0118,0,True,True,False
CWE-119,60/40,1,random_flip_20,random_flip,0.2,1698,1698,48,340,340,170,170,170,0,679,1019,679,1019,39.9882,60.0118,0,True,True,False
CWE-119,60/40,1,random_fp_10,random_fp,0.1,1698,2124,48,170,170,0,170,0,426,679,1019,849,1275,39.9718,60.0282,0,True,True,False
CWE-119,60/40,1,random_fp_20,random_fp,0.2,1698,2549,48,340,340,0,340,0,851,679,1019,1019,1530,39.9765,60.0235,0,True,True,False
CWE-119,60/40,1,heuristic_fp_10,heuristic_fp,0.1,1698,2124,48,170,170,0,170,0,426,679,1019,849,1275,39.9718,60.0282,403,True,True,False
CWE-119,60/40,1,heuristic_fp_20,heuristic_fp,0.2,1698,2549,48,340,340,0,340,0,851,679,1019,1019,1530,39.9765,60.0235,403,True,True,False
CWE-119,60/40,2,clean,clean,0.0,1698,1698,48,0,0,0,0,0,0,679,1019,679,1019,39.9882,60.0118,0,True,True,False
CWE-119,60/40,2,random_flip_10,random_flip,0.1,1698,1698,48,170,170,85,85,85,0,679,1019,679,1019,39.9882,60.0118,0,True,True,False
CWE-119,60/40,2,random_flip_20,random_flip,0.2,1698,1698,48,340,340,170,170,170,0,679,1019,679,1019,39.9882,60.0118,0,True,True,False
CWE-119,60/40,2,random_fp_10,random_fp,0.1,1698,2124,48,170,170,0,170,0,426,679,1019,849,1275,39.9718,60.0282,0,True,True,False
CWE-119,60/40,2,random_fp_20,random_fp,0.2,1698,2549,48,340,340,0,340,0,851,679,1019,1019,1530,39.9765,60.0235,0,True,True,False
CWE-119,60/40,2,heuristic_fp_10,heuristic_fp,0.1,1698,2124,48,170,170,0,170,0,426,679,1019,849,1275,39.9718,60.0282,372,True,True,False
CWE-119,60/40,2,heuristic_fp_20,heuristic_fp,0.2,1698,2549,48,340,340,0,340,0,851,679,1019,1019,1530,39.9765,60.0235,372,True,True,False
CWE-119,60/40,3,clean,clean,0.0,1698,1698,48,0,0,0,0,0,0,679,1019,679,1019,39.9882,60.0118,0,True,True,False
CWE-119,60/40,3,random_flip_10,random_flip,0.1,1698,1698,48,170,170,85,85,85,0,679,1019,679,1019,39.9882,60.0118,0,True,True,False
CWE-119,60/40,3,random_flip_20,random_flip,0.2,1698,1698,48,340,340,170,170,170,0,679,1019,679,1019,39.9882,60.0118,0,True,True,False
CWE-119,60/40,3,random_fp_10,random_fp,0.1,1698,2124,48,170,170,0,170,0,426,679,1019,849,1275,39.9718,60.0282,0,True,True,False
CWE-119,60/40,3,random_fp_20,random_fp,0.2,1698,2549,48,340,340,0,340,0,851,679,1019,1019,1530,39.9765,60.0235,0,True,True,False
CWE-119,60/40,3,heuristic_fp_10,heuristic_fp,0.1,1698,2124,48,170,170,0,170,0,426,679,1019,849,1275,39.9718,60.0282,397,True,True,False
CWE-119,60/40,3,heuristic_fp_20,heuristic_fp,0.2,1698,2549,48,340,340,0,340,0,851,679,1019,1019,1530,39.9765,60.0235,397,True,True,False
CWE-119,60/40,4,clean,clean,0.0,1698,1698,48,0,0,0,0,0,0,679,1019,679,1019,39.9882,60.0118,0,True,True,False
CWE-119,60/40,4,random_flip_10,random_flip,0.1,1698,1698,48,170,170,85,85,85,0,679,1019,679,1019,39.9882,60.0118,0,True,True,False
CWE-119,60/40,4,random_flip_20,random_flip,0.2,1698,1698,48,340,340,170,170,170,0,679,1019,679,1019,39.9882,60.0118,0,True,True,False
CWE-119,60/40,4,random_fp_10,random_fp,0.1,1698,2124,48,170,170,0,170,0,426,679,1019,849,1275,39.9718,60.0282,0,True,True,False
CWE-119,60/40,4,random_fp_20,random_fp,0.2,1698,2549,48,340,340,0,340,0,851,679,1019,1019,1530,39.9765,60.0235,0,True,True,False
CWE-119,60/40,4,heuristic_fp_10,heuristic_fp,0.1,1698,2124,48,170,170,0,170,0,426,679,1019,849,1275,39.9718,60.0282,400,True,True,False
CWE-119,60/40,4,heuristic_fp_20,heuristic_fp,0.2,1698,2549,48,340,340,0,340,0,851,679,1019,1019,1530,39.9765,60.0235,400,True,True,False
CWE-119,60/40,5,clean,clean,0.0,1698,1698,48,0,0,0,0,0,0,679,1019,679,1019,39.9882,60.0118,0,True,True,False
CWE-119,60/40,5,random_flip_10,random_flip,0.1,1698,1698,48,170,170,85,85,85,0,679,1019,679,1019,39.9882,60.0118,0,True,True,False
CWE-119,60/40,5,random_flip_20,random_flip,0.2,1698,1698,48,340,340,170,170,170,0,679,1019,679,1019,39.9882,60.0118,0,True,True,False
CWE-119,60/40,5,random_fp_10,random_fp,0.1,1698,2124,48,170,170,0,170,0,426,679,1019,849,1275,39.9718,60.0282,0,True,True,False
CWE-119,60/40,5,random_fp_20,random_fp,0.2,1698,2549,48,340,340,0,340,0,851,679,1019,1019,1530,39.9765,60.0235,0,True,True,False
CWE-119,60/40,5,heuristic_fp_10,heuristic_fp,0.1,1698,2124,48,170,170,0,170,0,426,679,1019,849,1275,39.9718,60.0282,404,True,True,False
CWE-119,60/40,5,heuristic_fp_20,heuristic_fp,0.2,1698,2549,48,340,340,0,340,0,851,679,1019,1019,1530,39.9765,60.0235,404,True,True,False
CWE-119,70/30,1,clean,clean,0.0,2264,2264,64,0,0,0,0,0,0,679,1585,679,1585,29.9912,70.0088,0,True,True,False
CWE-119,70/30,1,random_flip_10,random_flip,0.1,2264,2264,64,227,228,114,114,114,0,679,1585,679,1585,29.9912,70.0088,0,True,True,False
CWE-119,70/30,1,random_flip_20,random_flip,0.2,2264,2264,64,453,454,227,227,227,0,679,1585,679,1585,29.9912,70.0088,0,True,True,False
CWE-119,70/30,1,random_fp_10,random_fp,0.1,2264,3021,64,227,227,0,227,0,757,679,1585,906,2115,29.9901,70.0099,0,True,True,False
CWE-119,70/30,1,random_fp_20,random_fp,0.2,2264,3775,64,453,453,0,453,0,1511,679,1585,1132,2643,29.9868,70.0132,0,True,True,False
CWE-119,70/30,1,heuristic_fp_10,heuristic_fp,0.1,2264,3021,64,227,227,0,227,0,757,679,1585,906,2115,29.9901,70.0099,593,True,True,False
CWE-119,70/30,1,heuristic_fp_20,heuristic_fp,0.2,2264,3775,64,453,453,0,453,0,1511,679,1585,1132,2643,29.9868,70.0132,593,True,True,False
CWE-119,70/30,2,clean,clean,0.0,2264,2264,64,0,0,0,0,0,0,679,1585,679,1585,29.9912,70.0088,0,True,True,False
CWE-119,70/30,2,random_flip_10,random_flip,0.1,2264,2264,64,227,228,114,114,114,0,679,1585,679,1585,29.9912,70.0088,0,True,True,False
