condition,seed,delta_mcc,delta_f1,delta_precision,delta_recall,delta_pr_auc
heuristic_fp_10,1,0.06645059815545426,0.063837562211748689,-0.019366103657329905,0.12380952380952384,0.016258717041008536
heuristic_fp_10,2,0.037910677300812774,0.039018041357570227,-0.038634312985347329,0.12000000000000002,0.0019525886327403453
heuristic_fp_10,3,0.015938403439892338,0.026203414532607539,-0.047952044939814933,0.089523809523809547,-0.0083840006227914859
heuristic_fp_10,4,0.029709587109248977,0.036528768008565887,-0.0441950548746824,0.10666666666666669,-0.0090544157201340684
heuristic_fp_10,5,0.045640606566266978,0.039876704390668302,-0.015423529479396254,0.081904761904761897,0.013502727368499589
heuristic_fp_20,1,0.0064524070341439891,0.010940781113518379,-0.067075006295875234,0.10857142857142861,-0.021869989149290878
heuristic_fp_20,2,-0.016902948006084127,-0.00034506898630720206,-0.090384857310266326,0.11619047619047621,-0.05017886091860034
heuristic_fp_20,3,0.0046526762467117462,0.02161762835485271,-0.090630368945324863,0.14285714285714288,-0.02578916037897442
heuristic_fp_20,4,0.017526296869725205,0.017615526757360403,-0.065343379411445218,0.12761904761904763,-0.030160546647428146
heuristic_fp_20,5,-0.014341318244752977,-0.0077338071517328777,-0.068571111709597787,0.070476190476190512,-0.01764415405131466
random_flip_10,1,-0.037164082744683018,-0.032894386262419341,-0.052338371688948337,-0.0057142857142857681,-0.039426872120747539
random_flip_10,2,-0.060482734047930024,-0.051547918761171443,-0.047717156168782887,-0.017142857142857137,-0.055088693581442597
random_flip_10,3,-0.087589580449766141,-0.07374884225844118,-0.046957293182160111,-0.064761904761904743,-0.052085412643903289
random_flip_10,4,-0.077034190999656443,-0.07082978146875904,-0.07773291346467176,-0.03428571428571428,-0.077311539777824567
random_flip_10,5,-0.073326449095077337,-0.069286460060225388,-0.095051657540682552,-0.062857142857142861,-0.034851341069138099
random_flip_20,1,-0.19190164474564345,-0.17434845564574256,-0.17385741648029146,-0.16,-0.15229432773302057
random_flip_20,2,-0.21911957238150873,-0.19421707909495892,-0.19882657523797773,-0.17142857142857143,-0.18415062458163611
random_flip_20,3,-0.24088562126920018,-0.20708293486744814,-0.21674648249682182,-0.18666666666666665,-0.17684318101172636
random_flip_20,4,-0.21172906078687961,-0.18955294588726881,-0.18960913407306909,-0.15619047619047619,-0.19049120812604825
random_flip_20,5,-0.24800189058963298,-0.19598094837480351,-0.17337461471248938,-0.15619047619047621,-0.17407524369137589
random_fp_10,1,-0.03545718280577622,-0.020938301416595972,-0.055896286705130492,0.024761904761904735,-0.031229500591524247
random_fp_10,2,-0.041200366832521172,-0.034260129045212223,-0.045741086188790012,0.013333333333333348,-0.018652996917749468
random_fp_10,3,-0.020796230450552421,-0.0081564505116740738,-0.03437596686670355,0.017142857142857178,-0.015663072218272327
random_fp_10,4,-0.035313403234010006,-0.032325928346054411,-0.076606848911598149,0.026666666666666668,-0.038523997395328538
random_fp_10,5,-0.058975388043309721,-0.062219711401957721,-0.043373346191069494,-0.068571428571428589,-0.0027109325349298566
random_fp_20,1,-0.086904626693264722,-0.072282139141216645,-0.094033266458814241,-0.030476190476190497,-0.048607680213540463
random_fp_20,2,-0.078798763547318754,-0.060082832405315104,-0.10631309440174951,0.015238095238095228,-0.040667722112185493
random_fp_20,3,-0.070749874146257219,-0.04678463805759922,-0.073358501990592156,0.015238095238095248,-0.026706887398734901
random_fp_20,4,-0.09061934896884502,-0.074082251378766742,-0.094820707608666274,-0.034285714285714308,-0.064712254862209773
random_fp_20,5,-0.067630619018842847,-0.067639055020016256,-0.063739320053913542,-0.045714285714285714,-0.026812822047333165
