condition,train_ratio,eval_ratio,seed,delta_mcc,delta_f1,delta_precision,delta_recall,delta_pr_auc
random_flip_10,60/40,50/50,1,-0.043729738484671134,-0.0038715199081798659,-0.073648740544688701,0.05714285714285712,-0.054872606061149097
random_flip_10,60/40,50/50,2,-0.049547594757684353,-0.04291095710365922,-0.0093423569894158336,-0.057142857142857072,-0.036541091948294094
random_flip_10,60/40,50/50,3,-0.080482466901580979,-0.028493625237811338,-0.064386724386724464,-2.2204460492503132e-17,0.0092792585508868937
random_flip_10,60/40,50/50,4,-0.015277775785269721,-0.010640611807959943,-0.0062640494865558779,-0.0095238095238094674,-0.017124827174877753
random_flip_10,60/40,50/50,5,-0.024779702667375204,-0.0056441491325210699,-0.030093415356573283,0.00952380952380949,-0.04619702667996519
random_flip_10,60/40,60/40,1,-0.054450592735974544,-0.019721231915284854,-0.083488178488178549,0.05714285714285712,-0.021148626111553392
random_flip_10,60/40,60/40,2,-0.033026433016298942,-0.03255894597656548,-0.003674920561109807,-0.057142857142857072,-0.019008236790076592
random_flip_10,60/40,60/40,3,-0.079187343040569499,-0.035265696205605178,-0.065950661238693684,-2.2204460492503132e-17,0.0063633022122796977
random_flip_10,60/40,60/40,4,-0.074399487409131076,-0.040354619428431368,-0.062955287147191147,-0.0095238095238094674,-0.053669936050958801
random_flip_10,60/40,60/40,5,0.030390700623195467,0.016541265503261959,0.023914925654055952,0.00952380952380949,0.018254795670793422
random_flip_10,60/40,70/30,1,-0.02088202425294635,-0.0089821368385574422,-0.057682615629984113,0.05714285714285712,-0.075070455933488336
random_flip_10,60/40,70/30,2,-0.028265984490104222,-0.028740038019358538,0.0019420123032805269,-0.057142857142857072,-0.037907256494156452
random_flip_10,60/40,70/30,3,-0.094401748326202711,-0.055538011807472379,-0.095244206773618667,-2.2204460492503132e-17,-0.027344180200213876
random_flip_10,60/40,70/30,4,-0.0097974791934458232,-0.0089233449227476454,-0.0081073334152965137,-0.0095238095238094674,-0.050398764246075166
random_flip_10,60/40,70/30,5,0.023591488557687158,0.01450326145130092,0.019396603396603339,0.00952380952380949,0.027915297418895001
random_flip_10,60/40,75/25,1,-0.0094946246386097052,-0.0054460354760169196,-0.048063973063973101,0.05714285714285712,0.012080603153040114
random_flip_10,60/40,75/25,2,-0.042756637666025374,-0.032462759063986768,-0.018088741147564723,-0.057142857142857072,-0.12232985210511824
random_flip_10,60/40,75/25,3,-0.012866731481564198,-0.0076950536247847754,-0.010699772768738281,-2.2204460492503132e-17,-0.012089340428544659
random_flip_10,60/40,75/25,4,-0.033562183574061669,-0.024802432777965212,-0.027309312070917101,-0.0095238095238094674,-0.091644894237412386
random_flip_10,60/40,75/25,5,0.00864825714968721,0.0052241279512693865,0.0046606437041219586,0.00952380952380949,-0.017073192943867822
random_flip_10,60/40,80/20,1,-0.01069576237890214,-0.011645228524485417,-0.037275829872178742,0.05714285714285712,-0.12132658835131549
