condition,train_ratio,eval_ratio,delta_mcc_mean,delta_mcc_std,delta_mcc_min,delta_mcc_max,delta_f1_mean,delta_f1_std,delta_f1_min,delta_f1_max,delta_precision_mean,delta_precision_std,delta_precision_min,delta_precision_max,delta_recall_mean,delta_recall_std,delta_recall_min,delta_recall_max,delta_pr_auc_mean,delta_pr_auc_std,delta_pr_auc_min,delta_pr_auc_max
random_flip_10,60/40,50/50,-0.042763455719316279,0.025241632399234753,-0.080482466901580979,-0.015277775785269721,-0.01831217263802629,0.016856944344970974,-0.04291095710365922,-0.0038715199081798659,-0.036747057352791636,0.03102494052586988,-0.073648740544688701,-0.0062640494865558779,9.7144514654701191e-18,0.0409634536525839,-0.057142857142857072,0.05714285714285712,-0.029091258662679847,0.025633363332354903,-0.054872606061149097,0.0092792585508868937
random_flip_10,60/40,60/40,-0.042134631115755723,0.044464846619857952,-0.079187343040569499,0.030390700623195467,-0.022271845604524984,0.02299246898840648,-0.040354619428431368,0.016541265503261959,-0.038430824356223449,0.046054102020219624,-0.083488178488178549,0.023914925654055952,9.7144514654701191e-18,0.0409634536525839,-0.057142857142857072,0.05714285714285712,-0.013841740213903133,0.02786036524917258,-0.053669936050958801,0.018254795670793422
random_flip_10,60/40,70/30,-0.025951149541002388,0.043104387890200088,-0.094401748326202711,0.023591488557687158,-0.017536054027367014,0.02618942556714985,-0.055538011807472379,0.01450326145130092,-0.027939108023803082,0.04727975987206795,-0.095244206773618667,0.019396603396603339,9.7144514654701191e-18,0.0409634536525839,-0.057142857142857072,0.05714285714285712,-0.032561071891007765,0.038204776840917741,-0.075070455933488336,0.027915297418895001
random_flip_10,60/40,75/25,-0.018006384042114749,0.020395427963002255,-0.042756637666025374,0.00864825714968721,-0.013036430598296858,0.015292264789563281,-0.032462759063986768,0.0052241279512693865,-0.01990023106941425,0.019616685135004811,-0.048063973063973101,0.0046606437041219586,9.7144514654701191e-18,0.0409634536525839,-0.057142857142857072,0.05714285714285712,-0.0462113353123806,0.057596720481545773,-0.12232985210511824,0.012080603153040114
random_flip_10,60/40,80/20,-0.026139005076769785,0.026314504883950759,-0.059162311302043247,0.0085929921183963368,-0.021677911241666716,0.018855636865409305,-0.041459684030106581,0.0050690101532723242,-0.024108947195046037,0.021207119183846691,-0.051006763262577262,0.004878235200815784,9.7144514654701191e-18,0.0409634536525839,-0.057142857142857072,0.05714285714285712,-0.051120184063385386,0.050905852193208694,-0.12132658835131549,0.01005090548300629
random_flip_10,60/40,90/10,-0.02055245728651196,0.026132088735026929,-0.060748039353308844,0.0097018763276985661,-0.020757765770585811,0.023398847802541579,-0.05775941348860756,0.0068075480011452029,-0.019589675141550363,0.024568517837593826,-0.058986566569593023,0.0052652237882416745,9.7144514654701191e-18,0.0409634536525839,-0.057142857142857072,0.05714285714285712,-0.040655169948510692,0.03871943746269188,-0.085475609153551624,0.010681511006843702
random_flip_10,70/30,50/50,-0.053910218682775943,0.054941414089981981,-0.1417356385457163,0.00055725229865171149,-0.052348637035483939,0.046352011422878169,-0.1179345936556175,-0.0016976758837223827,-0.0074895865938401805,0.027635954124944573,-0.051265793030498941,0.02519849087960533,-0.068571428571428575,0.056504369425490773,-0.1333333333333333,2.2204460492503132e-17,-0.0058672267475115541,0.026716445571714917,-0.049779958769918323,0.021300387725383785
random_flip_10,70/30,60/40,-0.08253713235754094,0.057683815129806526,-0.14133607864143985,-0.0074170093733862737,-0.065066351334406899,0.048558109013376871,-0.11878045490948722,-0.0048570306443496362,-0.038195058942144686,0.026645417742011089,-0.060779848171152583,-0.0090941583207027939,-0.068571428571428575,0.056504369425490773,-0.1333333333333333,2.2204460492503132e-17,-0.025994686774014657,0.014828296542704995,-0.039457737219477498,-0.0089941939327045084
random_flip_10,70/30,70/30,-0.06202347044468226,0.052331806046053725,-0.15254522328703582,-0.024496351188503684,-0.054103138358309724,0.042388515304107838,-0.12351316326087211,-0.015261094508178164,-0.026870517513831675,0.042244631345494242,-0.095354181991098907,0.019757622811970688,-0.068571428571428575,0.056504369425490773,-0.1333333333333333,2.2204460492503132e-17,-0.017583352229079759,0.065273403357192783,-0.10045553378207277,0.07738270137025291
random_flip_10,70/30,75/25,-0.034081783364113848,0.051028568047850963,-0.11362126433033,0.011472724618982499,-0.035434689497869501,0.043308578334624835,-0.10251166337065039,0.0021642002705124287,0.0052607771198856278,0.042547658881343202,-0.048107840699346781,0.053360867892726836,-0.068571428571428575,0.056504369425490773,-0.1333333333333333,2.2204460492503132e-17,-0.018316546353199507,0.041715689914011228,-0.061704518101854934,0.044063442236263309
random_flip_10,70/30,80/20,-0.055025233668368909,0.051992127545587415,-0.10771118957091064,0.0087718168503144074,-0.050639794098157276,0.046769502418310058,-0.099858514450587355,0.0051598744105731727,-0.020491335590416111,0.02697433092309132,-0.05368596411216555,0.011322433013609311,-0.068571428571428575,0.056504369425490773,-0.1333333333333333,2.2204460492503132e-17,-0.019618608513325843,0.060891170671138577,-0.083752145193049049,0.06324907794554209
random_flip_10,70/30,90/10,-0.037250254507085766,0.042541513073524426,-0.096813577089693029,0.0048109074461827996,-0.031277359718422902,0.037844213949093847,-0.086989730713939645,0.0037139549570657238,-0.00812729798275744,0.027601131029527912,-0.043643469541596334,0.02301857254678712,-0.068571428571428575,0.056504369425490773,-0.1333333333333333,2.2204460492503132e-17,-0.038484716115956261,0.067895994047958763,-0.14182241919194188,0.035100774581074121
random_flip_10,75/25,50/50,-0.027471048510937457,0.049326731272192482,-0.10344893919389624,0.034018019326913708,-0.018458127720352158,0.014965967075590727,-0.041060615129934773,-0.0017150549813697014,-0.024170050668435354,0.046774537054708056,-0.085940095336380112,0.042538699690402491,-0.0038095238095238446,0.0085183541999992347,-0.0095238095238096565,0.0095238095238095351,-0.022806191559504779,0.026825217976433516,-0.045646335955803585,0.017693403718485535
random_flip_10,75/25,60/40,-0.016832929111129536,0.025235235098333052,-0.053170175653072041,0.0088996515261815963,-0.016313495406137881,0.013540242297261234,-0.032804337045823154,0.0012244863464375699,-0.014187075540932024,0.027242579183167314,-0.052560897620797985,0.017673350041770997,-0.0038095238095238446,0.0085183541999992347,-0.0095238095238096565,0.0095238095238095351,-0.025684818208314125,0.043356085296149059,-0.083362923678089881,0.028484551696593564
random_flip_10,75/25,70/30,-0.0069764659167174626,0.05166346594095645,-0.063089948071139768,0.050413556273055472,-0.010070785674258176,0.031397504704097315,-0.044688308849077409,0.021606849901621806,-0.0038175368461274991,0.064940905194302637,-0.078409571909571832,0.068515098936151417,-0.0038095238095238446,0.0085183541999992347,-0.0095238095238096565,0.0095238095238095351,-0.015032037185316611,0.026857340240249959,-0.037100435997152778,0.022197519913650442
random_flip_10,75/25,75/25,-0.0070361165903140566,0.055851847259596438,-0.095434104239732379,0.052760697312160321,-0.0098939204789627692,0.036744761052562858,-0.069520663067573901,0.025243409886408674,-0.0026387967039728051,0.071956119666770374,-0.11440043700764761,0.083164428164428261,-0.0038095238095238446,0.0085183541999992347,-0.0095238095238096565,0.0095238095238095351,-0.011575644800167005,0.047968904375462168,-0.07608582911735616,0.050817527814938847
random_flip_10,75/25,80/20,-0.022674625372241471,0.032281554065838672,-0.059039054710957883,0.026538828738764685,-0.020675526128887858,0.024986441606451092,-0.044116342410855311,0.018436687018773257,-0.027837926183776063,0.046255877517243062,-0.08587595859008533,0.040346435174021353,-0.0038095238095238446,0.0085183541999992347,-0.0095238095238096565,0.0095238095238095351,-0.052086617137360056,0.028484436301585113,-0.083482754878875506,-0.022869168783298078
random_flip_10,75/25,90/10,-0.040308314252045938,0.026559879704137559,-0.070011437896677339,-0.0067235608604245597,-0.040651349795280546,0.025598683058685744,-0.066507371770529719,-0.006635263702597061,-0.043376799464263205,0.038361882691591194,-0.091440954632443963,0.0010199944492072289,-0.0038095238095238446,0.0085183541999992347,-0.0095238095238096565,0.0095238095238095351,-0.049042156542609093,0.044972248115902738,-0.11462806286623528,0.010012689606555946
random_flip_10,80/20,50/50,-0.07375280890942279,0.0657918190694185,-0.15928516759526259,0.023391837936664717,-0.032051174534101057,0.082818353900997677,-0.13254471522764194,0.077478737227332936,-0.070415683594011777,0.049466156851636425,-0.13558631873802146,0.0020912128806865439,0.0095238095238095125,0.13316315670580534,-0.14285714285714288,0.18095238095238098,-0.040213847113605407,0.027295858277320364,-0.069834701966904195,0.0011952969424229964
random_flip_10,80/20,60/40,-0.049783614930925521,0.070746332363922415,-0.12929538804000998,0.031842060511937532,-0.027072470820506466,0.078682846072164539,-0.11269091868501339,0.060025933019421121,-0.064062151464808786,0.050874644818098516,-0.1189976689976692,0.0064823086158392719,0.0095238095238095125,0.13316315670580534,-0.14285714285714288,0.18095238095238098,-0.025106729972638065,0.038717788481819122,-0.070339300297742491,0.021949991373392708
random_flip_10,80/20,70/30,-0.02664261493707944,0.075949454808460312,-0.11581914416550924,0.067204137025816124,-0.023402408732493257,0.077794569627995233,-0.12048270411173634,0.073494765787248395,-0.029275326468798029,0.038161031561839233,-0.088551001428239268,0.0054305919398798252,0.0095238095238095125,0.13316315670580534,-0.14285714285714288,0.18095238095238098,-0.03468156855945688,0.029765653557147529,-0.052047771375736594,0.017518571769574231
random_flip_10,80/20,75/25,-0.042708861392172948,0.045524771570022056,-0.085760522292454039,0.025448174326265283,-0.033575862454357459,0.050222019804366351,-0.086295669712848147,0.022019217258527068,-0.053236212538678551,0.073343187025944376,-0.14643802464168587,0.0083626462936807304,0.0095238095238095125,0.13316315670580534,-0.14285714285714288,0.18095238095238098,-0.037088969352851456,0.032558578886423946,-0.084370710960270073,0.0027280326342992824
random_flip_10,80/20,80/20,-0.041236586540787865,0.045758898045093706,-0.1056913283610927,0.0053870909505135175,-0.040026957071343003,0.052258100084149606,-0.097350977376919223,0.020714377990407474,-0.040868666517526374,0.066612328486127886,-0.11254134668221372,0.049208683473389359,0.0095238095238095125,0.13316315670580534,-0.14285714285714288,0.18095238095238098,-0.071683194978269194,0.026774344963521789,-0.096323732812203008,-0.036784896877181651
random_flip_10,80/20,90/10,-0.044535072169299181,0.060026931268408225,-0.11806978863985129,0.019523603879341534,-0.052830262864511826,0.050583203545982537,-0.10535468529746775,0.0082701788111396828,-0.038132591930333526,0.032465755812010701,-0.072835922483574886,-0.001115421066074429,0.0095238095238095125,0.13316315670580534,-0.14285714285714288,0.18095238095238098,-0.04487274663886822,0.040911286310958923,-0.10326689855116729,-0.0054484235433616187
