run_name,model,model_family,train_ratio,seed,condition,stage,eval_ratio,split,hyperparameter_name,hyperparameter_value,learning_rate,selected_epoch,selected_hyperparams,train_rows,valid_rows,elapsed_seconds,n_rows,positive_rows,benign_rows,accuracy,balanced_accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,roc_auc,average_precision,pr_auc
codebert_balanced_ratio_preserved_noise_mcc_selected_true_pr_auc_v1,codebert_class_weight_balanced,codebert,60/40,1,clean,validation,60/40,valid,learning_rate,2.0000000000000002e-05,2.0000000000000002e-05,3,True,1698,48,149.3927696980536,48,19,29,0.875,0.86932849364791287,0.84210526315789469,0.84210526315789469,0.84210526315789469,0.73865698729582574,26,3,3,16,0.94010889292195998,0.91606966394814537,0.91373779943461697
codebert_balanced_ratio_preserved_noise_mcc_selected_true_pr_auc_v1,codebert_class_weight_balanced,codebert,60/40,1,clean,test,50/50,test,learning_rate,2.0000000000000002e-05,2.0000000000000002e-05,3,True,1698,48,149.3927696980536,42,21,21,0.80952380952380953,0.80952380952380953,0.88235294117647056,0.7142857142857143,0.78947368421052633,0.63059262509446579,19,2,6,15,0.86621315192743764,0.90638169164700733,0.90468629126463229
codebert_balanced_ratio_preserved_noise_mcc_selected_true_pr_auc_v1,codebert_class_weight_balanced,codebert,60/40,1,clean,test,60/40,test,learning_rate,2.0000000000000002e-05,2.0000000000000002e-05,3,True,1698,48,149.3927696980536,53,21,32,0.79245283018867929,0.77901785714285721,0.75,0.7142857142857143,0.73170731707317072,0.56308591418472442,27,5,6,15,0.82886904761904767,0.77955187298379403,0.77056413988348393
codebert_balanced_ratio_preserved_noise_mcc_selected_true_pr_auc_v1,codebert_class_weight_balanced,codebert,60/40,1,clean,test,70/30,test,learning_rate,2.0000000000000002e-05,2.0000000000000002e-05,3,True,1698,48,149.3927696980536,70,21,49,0.7857142857142857,0.76530612244897966,0.625,0.7142857142857143,0.66666666666666663,0.51227176405541541,40,9,6,15,0.86103012633624876,0.79623078522313495,0.79263882657389972
codebert_balanced_ratio_preserved_noise_mcc_selected_true_pr_auc_v1,codebert_class_weight_balanced,codebert,60/40,1,clean,test,75/25,test,learning_rate,2.0000000000000002e-05,2.0000000000000002e-05,3,True,1698,48,149.3927696980536,84,21,63,0.8214285714285714,0.7857142857142857,0.625,0.7142857142857143,0.66666666666666663,0.54772255750516607,54,9,6,15,0.88510959939531375,0.73075138119462335,0.72610880214076001
codebert_balanced_ratio_preserved_noise_mcc_selected_true_pr_auc_v1,codebert_class_weight_balanced,codebert,60/40,1,clean,test,80/20,test,learning_rate,2.0000000000000002e-05,2.0000000000000002e-05,3,True,1698,48,149.3927696980536,105,21,84,0.79047619047619044,0.76190476190476186,0.4838709677419355,0.7142857142857143,0.57692307692307687,0.45933122986262781,68,16,6,15,0.82908163265306123,0.59301354478217805,0.58392374402150238
codebert_balanced_ratio_preserved_noise_mcc_selected_true_pr_auc_v1,codebert_class_weight_balanced,codebert,60/40,1,clean,test,90/10,test,learning_rate,2.0000000000000002e-05,2.0000000000000002e-05,3,True,1698,48,149.3927696980536,210,21,189,0.81904761904761902,0.77248677248677255,0.31914893617021278,0.7142857142857143,0.44117647058823528,0.39225929081491462,157,32,6,15,0.85109599395313684,0.42351149627454665,0.42121686882545434
codebert_balanced_ratio_preserved_noise_mcc_selected_true_pr_auc_v1,codebert_class_weight_balanced,codebert,60/40,1,heuristic_fp_10,validation,60/40,valid,learning_rate,2.0000000000000002e-05,2.0000000000000002e-05,2,True,2124,48,172.85528911498841,48,19,29,0.875,0.87840290381125219,0.80952380952380953,0.89473684210526316,0.84999999999999998,0.74605135949396562,25,4,2,17,0.92196007259528134,0.87626770284013222,0.87121667519729695
codebert_balanced_ratio_preserved_noise_mcc_selected_true_pr_auc_v1,codebert_class_weight_balanced,codebert,60/40,1,heuristic_fp_10,test,50/50,test,learning_rate,2.0000000000000002e-05,2.0000000000000002e-05,2,True,2124,48,172.85528911498841,42,21,21,0.83333333333333337,0.83333333333333326,0.84999999999999998,0.80952380952380953,0.82926829268292679,0.66742381247191462,18,3,4,17,0.89795918367346939,0.88633957484487502,0.88226893180412969
codebert_balanced_ratio_preserved_noise_mcc_selected_true_pr_auc_v1,codebert_class_weight_balanced,codebert,60/40,1,heuristic_fp_10,test,60/40,test,learning_rate,2.0000000000000002e-05,2.0000000000000002e-05,2,True,2124,48,172.85528911498841,53,21,32,0.81132075471698117,0.81101190476190477,0.73913043478260865,0.80952380952380953,0.77272727272727271,0.6138568406737519,26,6,4,17,0.89583333333333337,0.83132525676753888,0.8230294182975999
codebert_balanced_ratio_preserved_noise_mcc_selected_true_pr_auc_v1,codebert_class_weight_balanced,codebert,60/40,1,heuristic_fp_10,test,70/30,test,learning_rate,2.0000000000000002e-05,2.0000000000000002e-05,2,True,2124,48,172.85528911498841,70,21,49,0.81428571428571428,0.81292517006802723,0.65384615384615385,0.80952380952380953,0.72340425531914898,0.59356074020638561,40,9,4,17,0.87998056365403299,0.70630984490201687,0.69547444780704937
