model,model_family,train_ratio,seed,condition,hyperparameter_name,hyperparameter_value,source_validation_mcc,source_metrics
lightgbm_class_weight_balanced,lightgbm,60/40,1,clean,num_leaves,63,0.78490400000000005,results/model_experiments/lightgbm_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
lightgbm_class_weight_balanced,lightgbm,60/40,1,random_flip_10,num_leaves,15,0.72422399999999998,results/model_experiments/lightgbm_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
lightgbm_class_weight_balanced,lightgbm,60/40,1,random_flip_20,num_leaves,31,0.51698299999999997,results/model_experiments/lightgbm_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
lightgbm_class_weight_balanced,lightgbm,60/40,1,random_fp_10,num_leaves,31,0.67333200000000004,results/model_experiments/lightgbm_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
lightgbm_class_weight_balanced,lightgbm,60/40,1,random_fp_20,num_leaves,31,0.67333200000000004,results/model_experiments/lightgbm_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
lightgbm_class_weight_balanced,lightgbm,60/40,1,heuristic_fp_10,num_leaves,63,0.65906399999999998,results/model_experiments/lightgbm_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
lightgbm_class_weight_balanced,lightgbm,60/40,1,heuristic_fp_20,num_leaves,63,0.65906399999999998,results/model_experiments/lightgbm_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
lightgbm_class_weight_balanced,lightgbm,60/40,2,clean,num_leaves,15,0.78490400000000005,results/model_experiments/lightgbm_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
lightgbm_class_weight_balanced,lightgbm,60/40,2,random_flip_10,num_leaves,15,0.67333200000000004,results/model_experiments/lightgbm_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
lightgbm_class_weight_balanced,lightgbm,60/40,2,random_flip_20,num_leaves,31,0.574299,results/model_experiments/lightgbm_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
lightgbm_class_weight_balanced,lightgbm,60/40,2,random_fp_10,num_leaves,31,0.69109799999999999,results/model_experiments/lightgbm_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
lightgbm_class_weight_balanced,lightgbm,60/40,2,random_fp_20,num_leaves,63,0.79444000000000004,results/model_experiments/lightgbm_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
lightgbm_class_weight_balanced,lightgbm,60/40,2,heuristic_fp_10,num_leaves,31,0.69109799999999999,results/model_experiments/lightgbm_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
lightgbm_class_weight_balanced,lightgbm,60/40,2,heuristic_fp_20,num_leaves,63,0.69109799999999999,results/model_experiments/lightgbm_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
lightgbm_class_weight_balanced,lightgbm,60/40,3,clean,num_leaves,31,0.74605100000000002,results/model_experiments/lightgbm_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
