run_name,model,model_family,hyperparameter_name,train_ratio,seed,condition,stage,eval_ratio,split,C,selected_hyperparams,train_rows,valid_rows,elapsed_seconds,n_rows,positive_rows,benign_rows,accuracy,balanced_accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,roc_auc,average_precision,pr_auc
lightgbm_balanced_ratio_preserved_noise_mcc_selected_v1,lightgbm_class_weight_balanced,lightgbm,num_leaves,60/40,1,clean,validation_grid,60/40,valid,15.000000,False,1698,48,7.985104,48,19,29,0.875000,0.878403,0.809524,0.894737,0.850000,0.746051,25,4,2,17,0.909256,0.815261,0.815261
lightgbm_balanced_ratio_preserved_noise_mcc_selected_v1,lightgbm_class_weight_balanced,lightgbm,num_leaves,60/40,1,clean,validation_grid,60/40,valid,31.000000,False,1698,48,12.274370,48,19,29,0.875000,0.878403,0.809524,0.894737,0.850000,0.746051,25,4,2,17,0.931034,0.836362,0.836362
lightgbm_balanced_ratio_preserved_noise_mcc_selected_v1,lightgbm_class_weight_balanced,lightgbm,num_leaves,60/40,1,clean,validation_grid,60/40,valid,63.000000,True,1698,48,17.525356,48,19,29,0.895833,0.895644,0.850000,0.894737,0.871795,0.784904,26,3,2,17,0.909256,0.821894,0.821894
lightgbm_balanced_ratio_preserved_noise_mcc_selected_v1,lightgbm_class_weight_balanced,lightgbm,num_leaves,60/40,1,clean,test,50/50,test,63.000000,True,1698,48,17.608042,42,21,21,0.809524,0.809524,0.842105,0.761905,0.800000,0.621874,18,3,5,16,0.909297,0.916767,0.916767
lightgbm_balanced_ratio_preserved_noise_mcc_selected_v1,lightgbm_class_weight_balanced,lightgbm,num_leaves,60/40,1,clean,test,60/40,test,63.000000,True,1698,48,17.699615,53,21,32,0.830189,0.818452,0.800000,0.761905,0.780488,0.642669,28,4,5,16,0.928571,0.909587,0.909587
lightgbm_balanced_ratio_preserved_noise_mcc_selected_v1,lightgbm_class_weight_balanced,lightgbm,num_leaves,60/40,1,clean,test,70/30,test,63.000000,True,1698,48,17.794046,70,21,49,0.842857,0.819728,0.727273,0.761905,0.744186,0.631228,43,6,5,16,0.931001,0.867349,0.867349
lightgbm_balanced_ratio_preserved_noise_mcc_selected_v1,lightgbm_class_weight_balanced,lightgbm,num_leaves,60/40,1,clean,test,75/25,test,63.000000,True,1698,48,17.907130,84,21,63,0.809524,0.793651,0.592593,0.761905,0.666667,0.544530,52,11,5,16,0.889645,0.669652,0.669652
lightgbm_balanced_ratio_preserved_noise_mcc_selected_v1,lightgbm_class_weight_balanced,lightgbm,num_leaves,60/40,1,clean,test,80/20,test,63.000000,True,1698,48,18.065357,105,21,84,0.809524,0.791667,0.516129,0.761905,0.615385,0.511528,69,15,5,16,0.910998,0.752733,0.752733
lightgbm_balanced_ratio_preserved_noise_mcc_selected_v1,lightgbm_class_weight_balanced,lightgbm,num_leaves,60/40,1,clean,test,90/10,test,63.000000,True,1698,48,18.334094,210,21,189,0.804762,0.785714,0.307692,0.761905,0.438356,0.397166,153,36,5,16,0.903124,0.562251,0.562251
lightgbm_balanced_ratio_preserved_noise_mcc_selected_v1,lightgbm_class_weight_balanced,lightgbm,num_leaves,60/40,1,random_flip_10,validation_grid,60/40,valid,15.000000,True,1698,48,7.756323,48,19,29,0.854167,0.870236,0.750000,0.947368,0.837209,0.724224,23,6,1,18,0.901996,0.819837,0.819837
lightgbm_balanced_ratio_preserved_noise_mcc_selected_v1,lightgbm_class_weight_balanced,lightgbm,num_leaves,60/40,1,random_flip_10,validation_grid,60/40,valid,31.000000,False,1698,48,13.341276,48,19,29,0.791667,0.782214,0.736842,0.736842,0.736842,0.564428,24,5,5,14,0.898367,0.846546,0.846546
lightgbm_balanced_ratio_preserved_noise_mcc_selected_v1,lightgbm_class_weight_balanced,lightgbm,num_leaves,60/40,1,random_flip_10,validation_grid,60/40,valid,63.000000,False,1698,48,19.901015,48,19,29,0.833333,0.825771,0.789474,0.789474,0.789474,0.651543,25,4,4,15,0.894737,0.854803,0.854803
lightgbm_balanced_ratio_preserved_noise_mcc_selected_v1,lightgbm_class_weight_balanced,lightgbm,num_leaves,60/40,1,random_flip_10,test,50/50,test,15.000000,True,1698,48,19.993381,42,21,21,0.809524,0.809524,0.782609,0.857143,0.818182,0.621874,16,5,3,18,0.900227,0.906840,0.906840
