model,model_family,train_ratio,seed,condition,hyperparameter_name,hyperparameter_value,source_validation_mcc,source_metrics
linear_svm_class_weight_balanced,linear_svm,60/40,1,clean,C,1,0.67333200000000004,results/model_experiments/linear_svm_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
linear_svm_class_weight_balanced,linear_svm,60/40,1,random_flip_10,C,0.10000000000000001,0.56442800000000004,results/model_experiments/linear_svm_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
linear_svm_class_weight_balanced,linear_svm,60/40,1,random_flip_20,C,0.10000000000000001,0.43925799999999998,results/model_experiments/linear_svm_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
linear_svm_class_weight_balanced,linear_svm,60/40,1,random_fp_10,C,0.10000000000000001,0.66017499999999996,results/model_experiments/linear_svm_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
linear_svm_class_weight_balanced,linear_svm,60/40,1,random_fp_20,C,0.10000000000000001,0.574299,results/model_experiments/linear_svm_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
linear_svm_class_weight_balanced,linear_svm,60/40,1,heuristic_fp_10,C,0.10000000000000001,0.66017499999999996,results/model_experiments/linear_svm_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
linear_svm_class_weight_balanced,linear_svm,60/40,1,heuristic_fp_20,C,10,0.67333200000000004,results/model_experiments/linear_svm_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
linear_svm_class_weight_balanced,linear_svm,60/40,2,clean,C,0.10000000000000001,0.66017499999999996,results/model_experiments/linear_svm_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
linear_svm_class_weight_balanced,linear_svm,60/40,2,random_flip_10,C,0.10000000000000001,0.62343899999999997,results/model_experiments/linear_svm_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
linear_svm_class_weight_balanced,linear_svm,60/40,2,random_flip_20,C,0.10000000000000001,0.43925799999999998,results/model_experiments/linear_svm_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
linear_svm_class_weight_balanced,linear_svm,60/40,2,random_fp_10,C,0.10000000000000001,0.53793899999999994,results/model_experiments/linear_svm_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
linear_svm_class_weight_balanced,linear_svm,60/40,2,random_fp_20,C,0.10000000000000001,0.57356399999999996,results/model_experiments/linear_svm_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
linear_svm_class_weight_balanced,linear_svm,60/40,2,heuristic_fp_10,C,10,0.78490400000000005,results/model_experiments/linear_svm_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
linear_svm_class_weight_balanced,linear_svm,60/40,2,heuristic_fp_20,C,0.10000000000000001,0.55381899999999995,results/model_experiments/linear_svm_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
linear_svm_class_weight_balanced,linear_svm,60/40,3,clean,C,0.10000000000000001,0.61208099999999999,results/model_experiments/linear_svm_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
linear_svm_class_weight_balanced,linear_svm,60/40,3,random_flip_10,C,0.10000000000000001,0.53793899999999994,results/model_experiments/linear_svm_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
linear_svm_class_weight_balanced,linear_svm,60/40,3,random_flip_20,C,0.10000000000000001,0.46861599999999998,results/model_experiments/linear_svm_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
linear_svm_class_weight_balanced,linear_svm,60/40,3,random_fp_10,C,0.10000000000000001,0.61208099999999999,results/model_experiments/linear_svm_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
linear_svm_class_weight_balanced,linear_svm,60/40,3,random_fp_20,C,0.10000000000000001,0.55381899999999995,results/model_experiments/linear_svm_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
linear_svm_class_weight_balanced,linear_svm,60/40,3,heuristic_fp_10,C,0.10000000000000001,0.574299,results/model_experiments/linear_svm_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
linear_svm_class_weight_balanced,linear_svm,60/40,3,heuristic_fp_20,C,0.10000000000000001,0.53793899999999994,results/model_experiments/linear_svm_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
linear_svm_class_weight_balanced,linear_svm,60/40,4,clean,C,1,0.50277899999999998,results/model_experiments/linear_svm_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
linear_svm_class_weight_balanced,linear_svm,60/40,4,random_flip_10,C,0.10000000000000001,0.383413,results/model_experiments/linear_svm_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
linear_svm_class_weight_balanced,linear_svm,60/40,4,random_flip_20,C,0.10000000000000001,0.41750199999999998,results/model_experiments/linear_svm_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
linear_svm_class_weight_balanced,linear_svm,60/40,4,random_fp_10,C,0.10000000000000001,0.40256399999999998,results/model_experiments/linear_svm_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
linear_svm_class_weight_balanced,linear_svm,60/40,4,random_fp_20,C,0.10000000000000001,0.488064,results/model_experiments/linear_svm_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
linear_svm_class_weight_balanced,linear_svm,60/40,4,heuristic_fp_10,C,1,0.52054500000000004,results/model_experiments/linear_svm_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
linear_svm_class_weight_balanced,linear_svm,60/40,4,heuristic_fp_20,C,1,0.488064,results/model_experiments/linear_svm_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
linear_svm_class_weight_balanced,linear_svm,60/40,5,clean,C,0.10000000000000001,0.338445,results/model_experiments/linear_svm_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
linear_svm_class_weight_balanced,linear_svm,60/40,5,random_flip_10,C,1,0.31706299999999998,results/model_experiments/linear_svm_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
linear_svm_class_weight_balanced,linear_svm,60/40,5,random_flip_20,C,1,0.25203300000000001,results/model_experiments/linear_svm_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
linear_svm_class_weight_balanced,linear_svm,60/40,5,random_fp_10,C,10,0.43526799999999999,results/model_experiments/linear_svm_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
linear_svm_class_weight_balanced,linear_svm,60/40,5,random_fp_20,C,0.10000000000000001,0.338445,results/model_experiments/linear_svm_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
