model,model_family,train_ratio,seed,condition,hyperparameter_name,hyperparameter_value,source_validation_mcc,source_metrics
logistic_regression_class_weight_balanced,logistic_regression,60/40,1,clean,C,10,0.62343899999999997,results/model_experiments/logreg_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
logistic_regression_class_weight_balanced,logistic_regression,60/40,1,random_flip_10,C,0.10000000000000001,0.61208099999999999,results/model_experiments/logreg_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
logistic_regression_class_weight_balanced,logistic_regression,60/40,1,random_flip_20,C,0.10000000000000001,0.56442800000000004,results/model_experiments/logreg_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
logistic_regression_class_weight_balanced,logistic_regression,60/40,1,random_fp_10,C,1,0.66017499999999996,results/model_experiments/logreg_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
logistic_regression_class_weight_balanced,logistic_regression,60/40,1,random_fp_20,C,0.10000000000000001,0.61208099999999999,results/model_experiments/logreg_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
logistic_regression_class_weight_balanced,logistic_regression,60/40,1,heuristic_fp_10,C,10,0.70894000000000001,results/model_experiments/logreg_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
logistic_regression_class_weight_balanced,logistic_regression,60/40,1,heuristic_fp_20,C,0.10000000000000001,0.65154299999999998,results/model_experiments/logreg_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
logistic_regression_class_weight_balanced,logistic_regression,60/40,2,clean,C,10,0.69849300000000003,results/model_experiments/logreg_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
logistic_regression_class_weight_balanced,logistic_regression,60/40,2,random_flip_10,C,1,0.62343899999999997,results/model_experiments/logreg_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
logistic_regression_class_weight_balanced,logistic_regression,60/40,2,random_flip_20,C,0.10000000000000001,0.52566999999999997,results/model_experiments/logreg_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
logistic_regression_class_weight_balanced,logistic_regression,60/40,2,random_fp_10,C,0.10000000000000001,0.50277899999999998,results/model_experiments/logreg_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
logistic_regression_class_weight_balanced,logistic_regression,60/40,2,random_fp_20,C,1,0.57356399999999996,results/model_experiments/logreg_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
logistic_regression_class_weight_balanced,logistic_regression,60/40,2,heuristic_fp_10,C,10,0.66017499999999996,results/model_experiments/logreg_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
logistic_regression_class_weight_balanced,logistic_regression,60/40,2,heuristic_fp_20,C,10,0.58805499999999999,results/model_experiments/logreg_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
logistic_regression_class_weight_balanced,logistic_regression,60/40,3,clean,C,0.10000000000000001,0.574299,results/model_experiments/logreg_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
logistic_regression_class_weight_balanced,logistic_regression,60/40,3,random_flip_10,C,0.10000000000000001,0.574299,results/model_experiments/logreg_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
logistic_regression_class_weight_balanced,logistic_regression,60/40,3,random_flip_20,C,0.10000000000000001,0.45243899999999998,results/model_experiments/logreg_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
logistic_regression_class_weight_balanced,logistic_regression,60/40,3,random_fp_10,C,0.10000000000000001,0.61208099999999999,results/model_experiments/logreg_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
logistic_regression_class_weight_balanced,logistic_regression,60/40,3,random_fp_20,C,1,0.55381899999999995,results/model_experiments/logreg_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
logistic_regression_class_weight_balanced,logistic_regression,60/40,3,heuristic_fp_10,C,1,0.574299,results/model_experiments/logreg_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
logistic_regression_class_weight_balanced,logistic_regression,60/40,3,heuristic_fp_20,C,10,0.58805499999999999,results/model_experiments/logreg_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
logistic_regression_class_weight_balanced,logistic_regression,60/40,4,clean,C,10,0.50277899999999998,results/model_experiments/logreg_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
logistic_regression_class_weight_balanced,logistic_regression,60/40,4,random_flip_10,C,0.10000000000000001,0.41750199999999998,results/model_experiments/logreg_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
logistic_regression_class_weight_balanced,logistic_regression,60/40,4,random_flip_20,C,0.10000000000000001,0.41750199999999998,results/model_experiments/logreg_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
logistic_regression_class_weight_balanced,logistic_regression,60/40,4,random_fp_10,C,0.10000000000000001,0.43526799999999999,results/model_experiments/logreg_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
logistic_regression_class_weight_balanced,logistic_regression,60/40,4,random_fp_20,C,1,0.488064,results/model_experiments/logreg_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
logistic_regression_class_weight_balanced,logistic_regression,60/40,4,heuristic_fp_10,C,10,0.52054500000000004,results/model_experiments/logreg_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
logistic_regression_class_weight_balanced,logistic_regression,60/40,4,heuristic_fp_20,C,10,0.488064,results/model_experiments/logreg_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
logistic_regression_class_weight_balanced,logistic_regression,60/40,5,clean,C,1,0.370342,results/model_experiments/logreg_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
logistic_regression_class_weight_balanced,logistic_regression,60/40,5,random_flip_10,C,0.10000000000000001,0.338445,results/model_experiments/logreg_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
logistic_regression_class_weight_balanced,logistic_regression,60/40,5,random_flip_20,C,10,0.25203300000000001,results/model_experiments/logreg_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
logistic_regression_class_weight_balanced,logistic_regression,60/40,5,random_fp_10,C,0.10000000000000001,0.338445,results/model_experiments/logreg_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
logistic_regression_class_weight_balanced,logistic_regression,60/40,5,random_fp_20,C,1,0.338445,results/model_experiments/logreg_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
logistic_regression_class_weight_balanced,logistic_regression,60/40,5,heuristic_fp_10,C,1,0.338445,results/model_experiments/logreg_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
logistic_regression_class_weight_balanced,logistic_regression,60/40,5,heuristic_fp_20,C,10,0.370342,results/model_experiments/logreg_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
logistic_regression_class_weight_balanced,logistic_regression,70/30,1,clean,C,0.10000000000000001,0.58245599999999997,results/model_experiments/logreg_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
logistic_regression_class_weight_balanced,logistic_regression,70/30,1,random_flip_10,C,0.10000000000000001,0.58245599999999997,results/model_experiments/logreg_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
logistic_regression_class_weight_balanced,logistic_regression,70/30,1,random_flip_20,C,0.10000000000000001,0.507019,results/model_experiments/logreg_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
logistic_regression_class_weight_balanced,logistic_regression,70/30,1,random_fp_10,C,0.10000000000000001,0.507019,results/model_experiments/logreg_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
logistic_regression_class_weight_balanced,logistic_regression,70/30,1,random_fp_20,C,0.10000000000000001,0.52997099999999997,results/model_experiments/logreg_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
logistic_regression_class_weight_balanced,logistic_regression,70/30,1,heuristic_fp_10,C,10,0.601294,results/model_experiments/logreg_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
logistic_regression_class_weight_balanced,logistic_regression,70/30,1,heuristic_fp_20,C,10,0.57665299999999997,results/model_experiments/logreg_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
logistic_regression_class_weight_balanced,logistic_regression,70/30,2,clean,C,10,0.65373099999999995,results/model_experiments/logreg_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
logistic_regression_class_weight_balanced,logistic_regression,70/30,2,random_flip_10,C,10,0.65373099999999995,results/model_experiments/logreg_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
logistic_regression_class_weight_balanced,logistic_regression,70/30,2,random_flip_20,C,10,0.59487400000000001,results/model_experiments/logreg_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
logistic_regression_class_weight_balanced,logistic_regression,70/30,2,random_fp_10,C,1,0.601294,results/model_experiments/logreg_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
logistic_regression_class_weight_balanced,logistic_regression,70/30,2,random_fp_20,C,1,0.507019,results/model_experiments/logreg_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
logistic_regression_class_weight_balanced,logistic_regression,70/30,2,heuristic_fp_10,C,10,0.53778499999999996,results/model_experiments/logreg_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
logistic_regression_class_weight_balanced,logistic_regression,70/30,2,heuristic_fp_20,C,0.10000000000000001,0.43904300000000002,results/model_experiments/logreg_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
