run_name,model,model_family,hyperparameter_name,train_ratio,seed,condition,stage,eval_ratio,split,C,selected_hyperparams,train_rows,valid_rows,elapsed_seconds,n_rows,positive_rows,benign_rows,accuracy,balanced_accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,roc_auc,average_precision,pr_auc
logreg_balanced_ratio_preserved_noise_mcc_selected_v1,logistic_regression_class_weight_balanced,logistic_regression,C,60/40,1,clean,validation_grid,60/40,valid,0.100000,False,1698,48,4.022522,48,19,29,0.812500,0.808530,0.750000,0.789474,0.769231,0.612081,24,5,4,15,0.876588,0.843926,0.843926
logreg_balanced_ratio_preserved_noise_mcc_selected_v1,logistic_regression_class_weight_balanced,logistic_regression,C,60/40,1,clean,validation_grid,60/40,valid,1.000000,False,1698,48,4.110335,48,19,29,0.791667,0.791289,0.714286,0.789474,0.750000,0.574299,23,6,4,15,0.874773,0.841305,0.841305
logreg_balanced_ratio_preserved_noise_mcc_selected_v1,logistic_regression_class_weight_balanced,logistic_regression,C,60/40,1,clean,validation_grid,60/40,valid,10.000000,True,1698,48,4.275645,48,19,29,0.812500,0.817604,0.727273,0.842105,0.780488,0.623439,23,6,3,16,0.862069,0.815724,0.815724
logreg_balanced_ratio_preserved_noise_mcc_selected_v1,logistic_regression_class_weight_balanced,logistic_regression,C,60/40,1,clean,test,50/50,test,10.000000,True,1698,48,4.352886,42,21,21,0.809524,0.809524,0.882353,0.714286,0.789474,0.630593,19,2,6,15,0.904762,0.923994,0.923994
logreg_balanced_ratio_preserved_noise_mcc_selected_v1,logistic_regression_class_weight_balanced,logistic_regression,C,60/40,1,clean,test,60/40,test,10.000000,True,1698,48,4.439986,53,21,32,0.754717,0.747768,0.681818,0.714286,0.697674,0.491889,25,7,6,15,0.857143,0.830548,0.830548
logreg_balanced_ratio_preserved_noise_mcc_selected_v1,logistic_regression_class_weight_balanced,logistic_regression,C,60/40,1,clean,test,70/30,test,10.000000,True,1698,48,4.518271,70,21,49,0.857143,0.816327,0.789474,0.714286,0.750000,0.651946,45,4,6,15,0.887269,0.849754,0.849754
logreg_balanced_ratio_preserved_noise_mcc_selected_v1,logistic_regression_class_weight_balanced,logistic_regression,C,60/40,1,clean,test,75/25,test,10.000000,True,1698,48,4.608679,84,21,63,0.869048,0.817460,0.750000,0.714286,0.731707,0.645497,58,5,6,15,0.903250,0.839692,0.839692
logreg_balanced_ratio_preserved_noise_mcc_selected_v1,logistic_regression_class_weight_balanced,logistic_regression,C,60/40,1,clean,test,80/20,test,10.000000,True,1698,48,4.721590,105,21,84,0.800000,0.767857,0.500000,0.714286,0.588235,0.474342,69,15,6,15,0.852041,0.701121,0.701121
logreg_balanced_ratio_preserved_noise_mcc_selected_v1,logistic_regression_class_weight_balanced,logistic_regression,C,60/40,1,clean,test,90/10,test,10.000000,True,1698,48,4.918995,210,21,189,0.790476,0.756614,0.283019,0.714286,0.405405,0.354456,151,38,6,15,0.860418,0.584995,0.584995
logreg_balanced_ratio_preserved_noise_mcc_selected_v1,logistic_regression_class_weight_balanced,logistic_regression,C,60/40,1,random_flip_10,validation_grid,60/40,valid,0.100000,True,1698,48,4.020913,48,19,29,0.812500,0.808530,0.750000,0.789474,0.769231,0.612081,24,5,4,15,0.847550,0.820706,0.820706
logreg_balanced_ratio_preserved_noise_mcc_selected_v1,logistic_regression_class_weight_balanced,logistic_regression,C,60/40,1,random_flip_10,validation_grid,60/40,valid,1.000000,False,1698,48,4.101851,48,19,29,0.791667,0.782214,0.736842,0.736842,0.736842,0.564428,24,5,5,14,0.820327,0.799577,0.799577
logreg_balanced_ratio_preserved_noise_mcc_selected_v1,logistic_regression_class_weight_balanced,logistic_regression,C,60/40,1,random_flip_10,validation_grid,60/40,valid,10.000000,False,1698,48,4.246328,48,19,29,0.729167,0.712341,0.666667,0.631579,0.648649,0.428986,23,6,7,12,0.784029,0.746427,0.746427
logreg_balanced_ratio_preserved_noise_mcc_selected_v1,logistic_regression_class_weight_balanced,logistic_regression,C,60/40,1,random_flip_10,test,50/50,test,0.100000,True,1698,48,4.327901,42,21,21,0.809524,0.809524,0.809524,0.809524,0.809524,0.619048,17,4,4,17,0.843537,0.859606,0.859606
logreg_balanced_ratio_preserved_noise_mcc_selected_v1,logistic_regression_class_weight_balanced,logistic_regression,C,60/40,1,random_flip_10,test,60/40,test,0.100000,True,1698,48,4.415943,53,21,32,0.792453,0.795387,0.708333,0.809524,0.755556,0.580499,25,7,4,17,0.858631,0.857392,0.857392
logreg_balanced_ratio_preserved_noise_mcc_selected_v1,logistic_regression_class_weight_balanced,logistic_regression,C,60/40,1,random_flip_10,test,70/30,test,0.100000,True,1698,48,4.495654,70,21,49,0.857143,0.843537,0.739130,0.809524,0.772727,0.670346,43,6,4,17,0.881438,0.831070,0.831070
logreg_balanced_ratio_preserved_noise_mcc_selected_v1,logistic_regression_class_weight_balanced,logistic_regression,C,60/40,1,random_flip_10,test,75/25,test,0.100000,True,1698,48,4.580179,84,21,63,0.857143,0.841270,0.680000,0.809524,0.739130,0.646416,55,8,4,17,0.898715,0.850201,0.850201
logreg_balanced_ratio_preserved_noise_mcc_selected_v1,logistic_regression_class_weight_balanced,logistic_regression,C,60/40,1,random_flip_10,test,80/20,test,0.100000,True,1698,48,4.683748,105,21,84,0.780952,0.791667,0.472222,0.809524,0.596491,0.491576,65,19,4,17,0.837868,0.561419,0.561419
logreg_balanced_ratio_preserved_noise_mcc_selected_v1,logistic_regression_class_weight_balanced,logistic_regression,C,60/40,1,random_flip_10,test,90/10,test,0.100000,True,1698,48,4.901796,210,21,189,0.742857,0.772487,0.253731,0.809524,0.386364,0.350760,139,50,4,17,0.855631,0.552181,0.552181
logreg_balanced_ratio_preserved_noise_mcc_selected_v1,logistic_regression_class_weight_balanced,logistic_regression,C,60/40,1,random_flip_20,validation_grid,60/40,valid,0.100000,True,1698,48,4.195987,48,19,29,0.791667,0.782214,0.736842,0.736842,0.736842,0.564428,24,5,5,14,0.802178,0.782582,0.782582
logreg_balanced_ratio_preserved_noise_mcc_selected_v1,logistic_regression_class_weight_balanced,logistic_regression,C,60/40,1,random_flip_20,validation_grid,60/40,valid,1.000000,False,1698,48,4.280453,48,19,29,0.708333,0.704174,0.619048,0.684211,0.650000,0.402546,21,8,6,13,0.753176,0.726647,0.726647
logreg_balanced_ratio_preserved_noise_mcc_selected_v1,logistic_regression_class_weight_balanced,logistic_regression,C,60/40,1,random_flip_20,validation_grid,60/40,valid,10.000000,False,1698,48,4.440682,48,19,29,0.645833,0.643376,0.545455,0.631579,0.585366,0.281438,19,10,7,12,0.686025,0.670952,0.670952
logreg_balanced_ratio_preserved_noise_mcc_selected_v1,logistic_regression_class_weight_balanced,logistic_regression,C,60/40,1,random_flip_20,test,50/50,test,0.100000,True,1698,48,4.522741,42,21,21,0.761905,0.761905,0.739130,0.809524,0.772727,0.526201,15,6,4,17,0.852608,0.823972,0.823972
logreg_balanced_ratio_preserved_noise_mcc_selected_v1,logistic_regression_class_weight_balanced,logistic_regression,C,60/40,1,random_flip_20,test,60/40,test,0.100000,True,1698,48,4.619545,53,21,32,0.830189,0.826637,0.772727,0.809524,0.790698,0.648467,27,5,4,17,0.866071,0.831138,0.831138
logreg_balanced_ratio_preserved_noise_mcc_selected_v1,logistic_regression_class_weight_balanced,logistic_regression,C,60/40,1,random_flip_20,test,70/30,test,0.100000,True,1698,48,4.700091,70,21,49,0.828571,0.823129,0.680000,0.809524,0.739130,0.618070,41,8,4,17,0.904762,0.863023,0.863023
logreg_balanced_ratio_preserved_noise_mcc_selected_v1,logistic_regression_class_weight_balanced,logistic_regression,C,60/40,1,random_flip_20,test,75/25,test,0.100000,True,1698,48,4.786443,84,21,63,0.869048,0.849206,0.708333,0.809524,0.755556,0.669439,56,7,4,17,0.916100,0.863657,0.863657
logreg_balanced_ratio_preserved_noise_mcc_selected_v1,logistic_regression_class_weight_balanced,logistic_regression,C,60/40,1,random_flip_20,test,80/20,test,0.100000,True,1698,48,4.931448,105,21,84,0.790476,0.797619,0.485714,0.809524,0.607143,0.505076,66,18,4,17,0.865079,0.602901,0.602901
logreg_balanced_ratio_preserved_noise_mcc_selected_v1,logistic_regression_class_weight_balanced,logistic_regression,C,60/40,1,random_flip_20,test,90/10,test,0.100000,True,1698,48,5.183189,210,21,189,0.771429,0.788360,0.278689,0.809524,0.414634,0.381107,145,44,4,17,0.862434,0.474264,0.474264
logreg_balanced_ratio_preserved_noise_mcc_selected_v1,logistic_regression_class_weight_balanced,logistic_regression,C,60/40,1,random_fp_10,validation_grid,60/40,valid,0.100000,False,2124,48,4.668690,48,19,29,0.812500,0.808530,0.750000,0.789474,0.769231,0.612081,24,5,4,15,0.883848,0.854552,0.854552
logreg_balanced_ratio_preserved_noise_mcc_selected_v1,logistic_regression_class_weight_balanced,logistic_regression,C,60/40,1,random_fp_10,validation_grid,60/40,valid,1.000000,True,2124,48,4.760405,48,19,29,0.833333,0.834846,0.761905,0.842105,0.800000,0.660175,24,5,3,16,0.878403,0.851563,0.851563
logreg_balanced_ratio_preserved_noise_mcc_selected_v1,logistic_regression_class_weight_balanced,logistic_regression,C,60/40,1,random_fp_10,validation_grid,60/40,valid,10.000000,False,2124,48,4.937392,48,19,29,0.791667,0.773140,0.764706,0.684211,0.722222,0.558580,25,4,6,13,0.847550,0.816170,0.816170
logreg_balanced_ratio_preserved_noise_mcc_selected_v1,logistic_regression_class_weight_balanced,logistic_regression,C,60/40,1,random_fp_10,test,50/50,test,1.000000,True,2124,48,5.016685,42,21,21,0.785714,0.785714,0.800000,0.761905,0.780488,0.572078,17,4,5,16,0.829932,0.862445,0.862445
logreg_balanced_ratio_preserved_noise_mcc_selected_v1,logistic_regression_class_weight_balanced,logistic_regression,C,60/40,1,random_fp_10,test,60/40,test,1.000000,True,2124,48,5.088974,53,21,32,0.811321,0.802827,0.761905,0.761905,0.761905,0.605655,27,5,5,16,0.852679,0.854479,0.854479
logreg_balanced_ratio_preserved_noise_mcc_selected_v1,logistic_regression_class_weight_balanced,logistic_regression,C,60/40,1,random_fp_10,test,70/30,test,1.000000,True,2124,48,5.166266,70,21,49,0.857143,0.829932,0.761905,0.761905,0.761905,0.659864,44,5,5,16,0.874636,0.851433,0.851433
logreg_balanced_ratio_preserved_noise_mcc_selected_v1,logistic_regression_class_weight_balanced,logistic_regression,C,60/40,1,random_fp_10,test,75/25,test,1.000000,True,2124,48,5.247731,84,21,63,0.845238,0.817460,0.666667,0.761905,0.711111,0.608581,55,8,5,16,0.887377,0.841643,0.841643
