model,model_family,train_ratio,seed,condition,hyperparameter_name,hyperparameter_value,source_validation_mcc,source_metrics
random_forest_class_weight_balanced,random_forest,60/40,1,clean,min_samples_leaf,1,0.831928,results/model_experiments/random_forest_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
random_forest_class_weight_balanced,random_forest,60/40,1,random_flip_10,min_samples_leaf,5,0.60497999999999996,results/model_experiments/random_forest_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
random_forest_class_weight_balanced,random_forest,60/40,1,random_flip_20,min_samples_leaf,5,0.46529399999999999,results/model_experiments/random_forest_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
random_forest_class_weight_balanced,random_forest,60/40,1,random_fp_10,min_samples_leaf,5,0.80942700000000001,results/model_experiments/random_forest_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
random_forest_class_weight_balanced,random_forest,60/40,1,random_fp_20,min_samples_leaf,5,0.67333200000000004,results/model_experiments/random_forest_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
random_forest_class_weight_balanced,random_forest,60/40,1,heuristic_fp_10,min_samples_leaf,2,0.72422399999999998,results/model_experiments/random_forest_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
random_forest_class_weight_balanced,random_forest,60/40,1,heuristic_fp_20,min_samples_leaf,1,0.75860899999999998,results/model_experiments/random_forest_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
random_forest_class_weight_balanced,random_forest,60/40,2,clean,min_samples_leaf,5,0.73865700000000001,results/model_experiments/random_forest_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
random_forest_class_weight_balanced,random_forest,60/40,2,random_flip_10,min_samples_leaf,1,0.78097499999999997,results/model_experiments/random_forest_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
random_forest_class_weight_balanced,random_forest,60/40,2,random_flip_20,min_samples_leaf,5,0.61208099999999999,results/model_experiments/random_forest_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
random_forest_class_weight_balanced,random_forest,60/40,2,random_fp_10,min_samples_leaf,5,0.831928,results/model_experiments/random_forest_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
random_forest_class_weight_balanced,random_forest,60/40,2,random_fp_20,min_samples_leaf,1,0.74605100000000002,results/model_experiments/random_forest_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
random_forest_class_weight_balanced,random_forest,60/40,2,heuristic_fp_10,min_samples_leaf,2,0.74605100000000002,results/model_experiments/random_forest_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
random_forest_class_weight_balanced,random_forest,60/40,2,heuristic_fp_20,min_samples_leaf,2,0.65906399999999998,results/model_experiments/random_forest_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
random_forest_class_weight_balanced,random_forest,60/40,3,clean,min_samples_leaf,1,0.69849300000000003,results/model_experiments/random_forest_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
random_forest_class_weight_balanced,random_forest,60/40,3,random_flip_10,min_samples_leaf,1,0.69849300000000003,results/model_experiments/random_forest_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
random_forest_class_weight_balanced,random_forest,60/40,3,random_flip_20,min_samples_leaf,1,0.56442800000000004,results/model_experiments/random_forest_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
random_forest_class_weight_balanced,random_forest,60/40,3,random_fp_10,min_samples_leaf,5,0.70894000000000001,results/model_experiments/random_forest_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
random_forest_class_weight_balanced,random_forest,60/40,3,random_fp_20,min_samples_leaf,2,0.78490400000000005,results/model_experiments/random_forest_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
random_forest_class_weight_balanced,random_forest,60/40,3,heuristic_fp_10,min_samples_leaf,1,0.69109799999999999,results/model_experiments/random_forest_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
random_forest_class_weight_balanced,random_forest,60/40,3,heuristic_fp_20,min_samples_leaf,2,0.72422399999999998,results/model_experiments/random_forest_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
random_forest_class_weight_balanced,random_forest,60/40,4,clean,min_samples_leaf,5,0.59767899999999996,results/model_experiments/random_forest_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
random_forest_class_weight_balanced,random_forest,60/40,4,random_flip_10,min_samples_leaf,2,0.46950399999999998,results/model_experiments/random_forest_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
random_forest_class_weight_balanced,random_forest,60/40,4,random_flip_20,min_samples_leaf,1,0.40254600000000001,results/model_experiments/random_forest_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
random_forest_class_weight_balanced,random_forest,60/40,4,random_fp_10,min_samples_leaf,5,0.59767899999999996,results/model_experiments/random_forest_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
random_forest_class_weight_balanced,random_forest,60/40,4,random_fp_20,min_samples_leaf,2,0.53793899999999994,results/model_experiments/random_forest_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
random_forest_class_weight_balanced,random_forest,60/40,4,heuristic_fp_10,min_samples_leaf,2,0.57356399999999996,results/model_experiments/random_forest_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
random_forest_class_weight_balanced,random_forest,60/40,4,heuristic_fp_20,min_samples_leaf,1,0.56805799999999995,results/model_experiments/random_forest_balanced_ratio_preserved_noise_mcc_selected_v1/metrics.csv
