run_name,model,model_family,hyperparameter_name,train_ratio,seed,condition,stage,eval_ratio,split,C,selected_hyperparams,train_rows,valid_rows,elapsed_seconds,n_rows,positive_rows,benign_rows,accuracy,balanced_accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,roc_auc,average_precision,pr_auc
random_forest_balanced_ratio_preserved_noise_mcc_selected_v1,random_forest_class_weight_balanced,random_forest,min_samples_leaf,60/40,1,clean,validation_grid,60/40,valid,1.000000,True,1698,48,4.320819,48,19,29,0.916667,0.921960,0.857143,0.947368,0.900000,0.831928,26,3,1,18,0.928312,0.867860,0.867860
random_forest_balanced_ratio_preserved_noise_mcc_selected_v1,random_forest_class_weight_balanced,random_forest,min_samples_leaf,60/40,1,clean,validation_grid,60/40,valid,2.000000,False,1698,48,4.645212,48,19,29,0.895833,0.895644,0.850000,0.894737,0.871795,0.784904,26,3,2,17,0.923775,0.818627,0.818627
random_forest_balanced_ratio_preserved_noise_mcc_selected_v1,random_forest_class_weight_balanced,random_forest,min_samples_leaf,60/40,1,clean,validation_grid,60/40,valid,5.000000,False,1698,48,4.914795,48,19,29,0.875000,0.878403,0.809524,0.894737,0.850000,0.746051,25,4,2,17,0.914701,0.826650,0.826650
random_forest_balanced_ratio_preserved_noise_mcc_selected_v1,random_forest_class_weight_balanced,random_forest,min_samples_leaf,60/40,1,clean,test,50/50,test,1.000000,True,1698,48,4.997848,42,21,21,0.833333,0.833333,0.850000,0.809524,0.829268,0.667424,18,3,4,17,0.902494,0.919071,0.919071
random_forest_balanced_ratio_preserved_noise_mcc_selected_v1,random_forest_class_weight_balanced,random_forest,min_samples_leaf,60/40,1,clean,test,60/40,test,1.000000,True,1698,48,5.085346,53,21,32,0.867925,0.857887,0.850000,0.809524,0.829268,0.722252,29,3,4,17,0.912946,0.902700,0.902700
random_forest_balanced_ratio_preserved_noise_mcc_selected_v1,random_forest_class_weight_balanced,random_forest,min_samples_leaf,60/40,1,clean,test,70/30,test,1.000000,True,1698,48,5.177064,70,21,49,0.857143,0.843537,0.739130,0.809524,0.772727,0.670346,43,6,4,17,0.932459,0.873794,0.873794
random_forest_balanced_ratio_preserved_noise_mcc_selected_v1,random_forest_class_weight_balanced,random_forest,min_samples_leaf,60/40,1,clean,test,75/25,test,1.000000,True,1698,48,5.275581,84,21,63,0.857143,0.841270,0.680000,0.809524,0.739130,0.646416,55,8,4,17,0.938776,0.868318,0.868318
random_forest_balanced_ratio_preserved_noise_mcc_selected_v1,random_forest_class_weight_balanced,random_forest,min_samples_leaf,60/40,1,clean,test,80/20,test,1.000000,True,1698,48,5.410780,105,21,84,0.847619,0.833333,0.586207,0.809524,0.680000,0.596420,72,12,4,17,0.920635,0.820877,0.820877
random_forest_balanced_ratio_preserved_noise_mcc_selected_v1,random_forest_class_weight_balanced,random_forest,min_samples_leaf,60/40,1,clean,test,90/10,test,1.000000,True,1698,48,5.614329,210,21,189,0.790476,0.798942,0.298246,0.809524,0.435897,0.403343,149,40,4,17,0.910179,0.700934,0.700934
random_forest_balanced_ratio_preserved_noise_mcc_selected_v1,random_forest_class_weight_balanced,random_forest,min_samples_leaf,60/40,1,random_flip_10,validation_grid,60/40,valid,1.000000,False,1698,48,4.581395,48,19,29,0.812500,0.790381,0.812500,0.684211,0.742857,0.602475,26,3,6,13,0.877495,0.834662,0.834662
random_forest_balanced_ratio_preserved_noise_mcc_selected_v1,random_forest_class_weight_balanced,random_forest,min_samples_leaf,60/40,1,random_flip_10,validation_grid,60/40,valid,2.000000,False,1698,48,4.906664,48,19,29,0.791667,0.764065,0.800000,0.631579,0.705882,0.557204,26,3,7,12,0.883848,0.787044,0.787044
random_forest_balanced_ratio_preserved_noise_mcc_selected_v1,random_forest_class_weight_balanced,random_forest,min_samples_leaf,60/40,1,random_flip_10,validation_grid,60/40,valid,5.000000,True,1698,48,5.201938,48,19,29,0.812500,0.799456,0.777778,0.736842,0.756757,0.604980,25,4,5,14,0.892922,0.764426,0.764426
random_forest_balanced_ratio_preserved_noise_mcc_selected_v1,random_forest_class_weight_balanced,random_forest,min_samples_leaf,60/40,1,random_flip_10,test,50/50,test,5.000000,True,1698,48,5.287695,42,21,21,0.785714,0.785714,0.833333,0.714286,0.769231,0.577350,18,3,6,15,0.870748,0.888818,0.888818
random_forest_balanced_ratio_preserved_noise_mcc_selected_v1,random_forest_class_weight_balanced,random_forest,min_samples_leaf,60/40,1,random_flip_10,test,60/40,test,5.000000,True,1698,48,5.372330,53,21,32,0.754717,0.747768,0.681818,0.714286,0.697674,0.491889,25,7,6,15,0.861607,0.838008,0.838008
random_forest_balanced_ratio_preserved_noise_mcc_selected_v1,random_forest_class_weight_balanced,random_forest,min_samples_leaf,60/40,1,random_flip_10,test,70/30,test,5.000000,True,1698,48,5.468554,70,21,49,0.814286,0.785714,0.681818,0.714286,0.697674,0.564076,42,7,6,15,0.916424,0.852040,0.852040
random_forest_balanced_ratio_preserved_noise_mcc_selected_v1,random_forest_class_weight_balanced,random_forest,min_samples_leaf,60/40,1,random_flip_10,test,75/25,test,5.000000,True,1698,48,5.569285,84,21,63,0.845238,0.801587,0.681818,0.714286,0.697674,0.594040,56,7,6,15,0.922147,0.827259,0.827259
random_forest_balanced_ratio_preserved_noise_mcc_selected_v1,random_forest_class_weight_balanced,random_forest,min_samples_leaf,60/40,1,random_flip_10,test,80/20,test,5.000000,True,1698,48,5.692670,105,21,84,0.809524,0.773810,0.517241,0.714286,0.600000,0.489916,70,14,6,15,0.887755,0.724352,0.724352
random_forest_balanced_ratio_preserved_noise_mcc_selected_v1,random_forest_class_weight_balanced,random_forest,min_samples_leaf,60/40,1,random_flip_10,test,90/10,test,5.000000,True,1698,48,5.931898,210,21,189,0.795238,0.759259,0.288462,0.714286,0.410959,0.360392,152,37,6,15,0.877425,0.566714,0.566714
random_forest_balanced_ratio_preserved_noise_mcc_selected_v1,random_forest_class_weight_balanced,random_forest,min_samples_leaf,60/40,1,random_flip_20,validation_grid,60/40,valid,1.000000,False,1698,48,4.543452,48,19,29,0.708333,0.667877,0.692308,0.473684,0.562500,0.369479,25,4,10,9,0.746824,0.664896,0.664896
